codigo,placa,linha,latitude,longitude,velocidade,sentido,trajeto,timestamp
902112,,35,-22.8771,-43.330397,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2023-07-18 13:14:42
903037,,17,-22.919018,-43.607941,0.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],2023-07-18 13:13:24
903002,,42,-22.8459,-43.30247,40.5,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],2023-07-18 13:23:08
901080,,53,-22.937249,-43.395268,59.6,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:00
902110,,35,-22.972395,-43.40136,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2023-07-18 13:23:12
902114,,31,-22.96468,-43.391741,0.0,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],2023-07-18 12:11:37
902078,,31,-22.964741,-43.391756,0.0,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],2023-07-18 12:00:30
902111,,35,-22.904536,-43.356895,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],2023-07-18 13:22:56
902025,,35,-22.970839,-43.388784,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2023-07-18 13:22:36
903054,,17,-22.916496,-43.62216,8.8,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],2023-07-18 13:23:07
903021,,42,-22.869678,-43.335344,24.3,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],2023-07-18 13:23:06
903056,,17,-22.901549,-43.554934,0.0,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],2023-07-18 13:14:02
903000,,42,-22.83994,-43.239377,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],2023-07-18 13:23:07
903058,,17,-22.901371,-43.55443,23.1,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],2023-07-18 13:21:06
901072,,52,-23.000935,-43.367326,0.0,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 12:29:05
902045,,40,-22.876771,-43.330447,19.1,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:13
903008,,42,-22.840119,-43.281839,14.9,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],2023-07-18 13:23:00
903007,,42,-22.81214,-43.247217,55.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],2023-07-18 13:23:07
903004,,42,-22.876616,-43.329523,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],2023-07-18 12:43:33
903006,,50,-22.876331,-43.329617,0.0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-07-18 12:39:57
901046,,22,-23.000974,-43.36543,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:07:56
903005,,42,-22.838996,-43.295476,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],2023-07-18 13:23:00
903022,,50,-22.971895,-43.40097,0.0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-07-18 11:18:54
903035,,17,-22.906792,-43.5745,0.0,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],2023-07-18 13:23:07
901059,,51,-23.008758,-43.440347,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 12:47:47
903003,,50,-22.877137,-43.329844,0.0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-07-18 12:11:48
901019,,22,-23.002857,-43.325469,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:22:58
901020,,22,-23.006627,-43.314282,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 12:25:56
901021,,22,-23.00103,-43.36486,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:02:48
901022,,22,-23.006647,-43.313873,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 12:15:17
901023,,51,-23.003371,-43.43364,42.9,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],2023-07-18 13:23:12
901024,,22,-23.006549,-43.314961,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 12:37:04
901025,,51,-22.967423,-43.397804,27.2,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],2023-07-18 13:22:51
901026,,51,-22.86114,-43.398703,0.0,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],2023-07-18 13:23:13
901027,,22,-22.973264,-43.383234,19.3,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:23:00
901028,,22,-23.006505,-43.315685,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 12:51:27
903001,,42,-22.849871,-43.24726,46.9,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],2023-07-18 13:22:38
901029,,41,-22.881374,-43.341658,33.9,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],2023-07-18 13:23:05
901030,,22,-23.000908,-43.367683,0.0,volta,,2023-07-18 12:39:21
901031,,51,-22.964516,-43.391932,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 12:54:38
901032,,22,-23.000837,-43.367656,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:23:06
901033,,53,-22.964535,-43.39227,0.0,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],2023-07-18 13:02:24
901034,,22,-23.000002,-43.363543,42.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:23:05
901035,,51,-22.964586,-43.391841,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 12:56:24
901036,,40,-23.000978,-43.364778,0.0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],2023-07-18 13:20:11
901037,,40,-22.964822,-43.392171,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],2023-07-18 12:45:11
901038,,40,-23.001424,-43.367991,21.7,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],2023-07-18 13:23:02
901039,,40,-22.964491,-43.392144,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:11:55
901040,,40,-22.938454,-43.372247,45.4,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:04
901041,,35,-22.896846,-43.35158,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2023-07-18 13:23:07
901042,,40,-23.000639,-43.365518,0.0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],2023-07-18 13:22:56
901043,,41,-22.921567,-43.370631,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],2023-07-18 13:23:02
901054,,22,-23.000209,-43.366905,20.9,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 13:12:00
903009,,42,-22.877696,-43.336028,0.5,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],2023-07-18 13:23:10
903010,,42,-22.839826,-43.239445,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],2023-07-18 13:23:01
903011,,38,-22.841975,-43.27628,35.1,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],2023-07-18 13:23:09
903012,,50,-23.000218,-43.346679,1.4,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],2023-07-18 13:22:59
903015,,42,-22.8466,-43.240725,59.5,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],2023-07-18 13:23:05
903016,,50,-22.979877,-43.365702,52.4,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],2023-07-18 13:22:59
903017,,38,-22.876954,-43.329768,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],2023-07-18 13:23:09
